text,clean_text,Extracted_entities
"@RepValDemings @maddogpac Its. By. Design.
They aren't even hiding it anymore",RepValDemings maddogpac Its By Design They aren t even hiding it anymore,
RT @RepValDemings: The president’s plan to hold mass rallies in Florida and elsewhere as we experience a resurgence in COVID cases is irres…,RT RepValDemings The president s plan to hold mass rally in Florida and elsewhere a we experience a resurgence in COVID case is irres,"('RT RepValDemings', 'ORG')"
RT @RepValDemings: Tulsa was the site of the worst racist violence in American history. The president’s speech there on Juneteenth is a mes…,RT RepValDemings Tulsa wa the site of the worst racist violence in American history The president s speech there on Juneteenth is a me,"('RT RepValDemings', 'ORG')"
@RepValDemings Based on what...?,RepValDemings Based on what,"('RepValDemings Based', 'PERSON')"
@RepValDemings You are a moron .. so it’s alright to have protest and gatherings because to dumb ass people feeling… https://t.co/ftIwn1TJh8,RepValDemings You are a moron so it s alright to have protest and gathering because to dumb as people feeling http t co ftIwn TJh,
@RepValDemings Not does @GovRonDeSantis care.  #racistron only cares about you if you donate to his campaign or if… https://t.co/i7SKFAcUmR,RepValDemings Not doe GovRonDeSantis care racistron only care about you if you donate to his campaign or if http t co i SKFAcUmR,
"RT @OrlandoPolice: ARRESTED: @OrlandoPolice  arrested today Marcus Deion Brown, 36 years of age. Brown is the suspect from the fatal crash…",RT OrlandoPolice ARRESTED OrlandoPolice arrested today Marcus Deion Brown year of age Brown is the suspect from the fatal crash,"('RT OrlandoPolice ARRESTED', 'ORG')"
@RepValDemings U should be cheering! Deplorable and the President killing themselves with COVID. Guess ur concerned… https://t.co/zRNypjSBw2,RepValDemings U should be cheering Deplorable and the President killing themselves with COVID Guess ur concerned http t co zRNypjSBw,"('zRNypjSBw', 'CARDINAL')"
@RepValDemings We are just hosting protests.,RepValDemings We are just hosting protest,
"RT @RepValDemings: Unfortunately, Florida is experiencing a new surge in COVID-19 cases. I urge you to do everything you can to protect you…",RT RepValDemings Unfortunately Florida is experiencing a new surge in COVID case I urge you to do everything you can to protect you,"('RT RepValDemings', 'ORG')"
"@RepValDemings Dead people cant vote. At least they shouldnt be able to. However, with Trump in charge...who knows?
.",RepValDemings Dead people cant vote At least they shouldnt be able to However with Trump in charge who know,
RT @RepValDemings: The president and the attorney general have a direct responsibility to intervene and put the full weight of the White Ho…,RT RepValDemings The president and the attorney general have a direct responsibility to intervene and put the full weight of the White Ho,"('RT RepValDemings', 'ORG')"
@RepValDemings You don’t decide our future.  We do.,RepValDemings You don t decide our future We do,
@RepValDemings This is the look of pure Evil https://t.co/xGCNwR5Uoa,RepValDemings This is the look of pure Evil http t co xGCNwR Uoa,"('Evil', 'PERSON')"
RT @RepValDemings: Today would be a good day for the president to announce a comprehensive national testing plan. https://t.co/YA80uQ5Qbm,RT RepValDemings Today would be a good day for the president to announce a comprehensive national testing plan http t co YA uQ Qbm,"('RT RepValDemings', 'ORG')"
@RepValDemings Tell this crap to the bums in Seattle.,RepValDemings Tell this crap to the bum in Seattle,"('Seattle', 'GPE')"
"RT @RepValDemings: “Unfortunately, we know that foreign actors have historically sought to exploit tensions in American communities…

""we d…",RT RepValDemings Unfortunately we know that foreign actor have historically sought to exploit tension in American community we d,"('RT RepValDemings', 'ORG')"
@RepValDemings Are you serious???? OMG!!!,RepValDemings Are you serious OMG,
RT @RepValDemings: Today would be a good day for the president to announce a comprehensive national testing plan.,RT RepValDemings Today would be a good day for the president to announce a comprehensive national testing plan,"('RT RepValDemings', 'ORG')"
@RepValDemings Riots are safer?  You idiot,RepValDemings Riots are safer You idiot,"('RepValDemings Riots', 'ORG')"
@RepValDemings You're just mad that nobody will be looting or burning buildings after the rally.,RepValDemings You re just mad that nobody will be looting or burning building after the rally,
@RepValDemings Are you being serious with me right now?,RepValDemings Are you being serious with me right now,
@RepValDemings Just change the name. We're going to a Trump Riot. All good now? Where was Fauci during the riots BT… https://t.co/FC2UzBfOo0,RepValDemings Just change the name We re going to a Trump Riot All good now Where wa Fauci during the riot BT http t co FC UzBfOo,"('Fauci', 'PERSON')"
"@RepValDemings He is inciting violence.  Hopefully, protesters will be peaceful and shame him and his supporters (t… https://t.co/iJKDQYFshv",RepValDemings He is inciting violence Hopefully protester will be peaceful and shame him and his supporter t http t co iJKDQYFshv,
@RepValDemings Murders should be illegal. Armed robbery should be illegal. Sales of illegal narcotics should be ill… https://t.co/7mHsWGFEaa,RepValDemings Murders should be illegal Armed robbery should be illegal Sales of illegal narcotic should be ill http t co mHsWGFEaa,"('mHsWGFEaa', 'DATE')"
"RT @RepValDemings: In 1966 Dr. King said that “of all the forms of inequality, injustice in health is the most shocking and the most inhuma…",RT RepValDemings In Dr King said that of all the form of inequality injustice in health is the most shocking and the most inhuma,"('RT RepValDemings', 'ORG')"
"@RepValDemings Your so very, very ignorant. We don't need communist sympathizers in America . . .please, just leave… https://t.co/9gcAc7KNTY",RepValDemings Your so very very ignorant We don t need communist sympathizer in America please just leave http t co gcAc KNTY,"('America', 'GPE')"
"@RepValDemings They could.... if they weren’t Satan on earth🥴
#Biden2020
#FlipItALLBlue🌊🌊🌊🌊🌊🌊🌊🌊",RepValDemings They could if they weren t Satan on earth Biden FlipItALLBlue,"('Biden', 'PERSON')"
@RepValDemings This is BAD! And the only way to get rid of what's bad is to vote out what's bad! Starting with this president on down!,RepValDemings This is BAD And the only way to get rid of what s bad is to vote out what s bad Starting with this president on down,
"@RepValDemings Demings. How can you tweet such hypocritical, literal garbage, after supporting thousands of protest… https://t.co/1CNAyFh8nq",RepValDemings Demings How can you tweet such hypocritical literal garbage after supporting thousand of protest http t co CNAyFh nq,"('CNAyFh', 'ORG')"
@RepValDemings I see it as a chance to start a discussion with Black Americans about change for the better.,RepValDemings I see it a a chance to start a discussion with Black Americans about change for the better,"('Black Americans', 'NORP')"
@RepValDemings They seem intent on doing the opposite of healing racial injustice,RepValDemings They seem intent on doing the opposite of healing racial injustice,
@RepValDemings Except if you are protesting and rioting.,RepValDemings Except if you are protesting and rioting,
"@RepValDemings Black Americans do not need or deserve that kind of message right now, or ever!",RepValDemings Black Americans do not need or deserve that kind of message right now or ever,
@RepValDemings They seem very capable of pouring gas on the fire though.,RepValDemings They seem very capable of pouring gas on the fire though,
"RT @RepValDemings: As the nation burns, we face a real choice. Build a society for all, or maintain a society for a select few. I know my c…",RT RepValDemings As the nation burn we face a real choice Build a society for all or maintain a society for a select few I know my c,"('RT RepValDemings', 'ORG')"
@RepValDemings Damn idiot,RepValDemings Damn idiot,
@RepValDemings I’m sure it’s intended to provoke demonstrations. He will use any demonstration in Tulsa to claim la… https://t.co/BDxKcbvf7K,RepValDemings I m sure it s intended to provoke demonstration He will use any demonstration in Tulsa to claim la http t co BDxKcbvf K,"('Tulsa', 'GPE')"
@RepValDemings Who wants to bet Stephen Miller picked the place &amp,RepValDemings Who want to bet Stephen Miller picked the place amp,"('Stephen Miller', 'PERSON')"
"@RepValDemings Relax, they’re just protesting. CDC said protesting is totally fine. https://t.co/NG2canqJYl",RepValDemings Relax they re just protesting CDC said protesting is totally fine http t co NG canqJYl,"('RepValDemings Relax', 'PERSON')"
@RepValDemings Until Joe,RepValDemings Until Joe,"('Joe', 'PERSON')"
"@RepValDemings Gee, I wonder what sparked that resurgence? Wasn't there a huge nationwide event featuring hundreds… https://t.co/rlWau0o5ja",RepValDemings Gee I wonder what sparked that resurgence Wasn t there a huge nationwide event featuring hundred http t co rlWau o ja,"('Wasn', 'PERSON')"
@RepValDemings Another Lib hypocrite.  I couldn’t find your tweet concerned about the 1000’s of protesters in Flori… https://t.co/nYsV1Q0ekk,RepValDemings Another Lib hypocrite I couldn t find your tweet concerned about the s of protester in Flori http t co nYsV Q ekk,"('Flori', 'PERSON')"
@RepValDemings How about the protesters and rioters? Where’s those tweets? This is just laughable.,RepValDemings How about the protester and rioter Where s those tweet This is just laughable,
"@RepValDemings That is the job we hired them to do.  If they were employees we could fire immediately,  many of us… https://t.co/r7tpmvZP6a",RepValDemings That is the job we hired them to do If they were employee we could fire immediately many of u http t co r tpmvZP a,"('tpmvZP', 'GPE')"
@RepValDemings @tami_klomp Fake news.,RepValDemings tami klomp Fake news,
RT @RepValDemings: Chokeholds by law enforcement should be banned nationwide. Our legislation does.,RT RepValDemings Chokeholds by law enforcement should be banned nationwide Our legislation doe,"('RT RepValDemings Chokeholds', 'ORG')"
@RepValDemings Your voice looks hollow when thousands of people were on top of each other in the last few weeks,RepValDemings Your voice look hollow when thousand of people were on top of each other in the last few week,"('thousand', 'CARDINAL')"
@RepValDemings Give it up. Nobody buys this line of bullshit anymore.,RepValDemings Give it up Nobody buy this line of bullshit anymore,
"@RepValDemings Just consider them 'protests,' Val. Problem solved!",RepValDemings Just consider them protest Val Problem solved,"('Val Problem', 'PERSON')"
@RepValDemings He does not care about American people.. he has literally proven it over and over again. We need to… https://t.co/vj0I7eHYPS,RepValDemings He doe not care about American people he ha literally proven it over and over again We need to http t co vj I eHYPS,"('American', 'NORP')"
@RepValDemings Val doesn't even know black history https://t.co/OC4nHrrx2k,RepValDemings Val doesn t even know black history http t co OC nHrrx k,
@RepValDemings There is no maintaining this. We’ve reached a point of no return. We either fix this shit or the US will burn.,RepValDemings There is no maintaining this We ve reached a point of no return We either fix this shit or the US will burn,"('US', 'GPE')"
"@RepValDemings @MuellerSheWrote That seems optimistic.

I’m concerned it’ll actually be far worse.",RepValDemings MuellerSheWrote That seems optimistic I m concerned it ll actually be far worse,
"@RepValDemings He can't have a more comprehensive testing plan because that would cause more cases, and that would foul up his numbers!",RepValDemings He can t have a more comprehensive testing plan because that would cause more case and that would foul up his number,
@RepValDemings But mass gatherings for protests are encouraged? #LiberalHack,RepValDemings But mass gathering for protest are encouraged LiberalHack,"('LiberalHack', 'ORG')"
@RepValDemings Trying to silence Republica voices is vile and wicked. You have violated your oath of office and sho… https://t.co/KPo2NjXO5f,RepValDemings Trying to silence Republica voice is vile and wicked You have violated your oath of office and sho http t co KPo NjXO f,"('Republica', 'PERSON')"
@RepValDemings https://t.co/M9xFQogeQq well well well looks like Covid19 was all a hoax. Carry on with your lives p… https://t.co/TZpA7jsamK,RepValDemings http t co M xFQogeQq well well well look like Covid wa all a hoax Carry on with your life p http t co TZpA jsamK,"('Covid', 'PERSON')"
@RepValDemings Stupid. @Potus has trolled all of you into the point of exposing how idiotic and biased you are.,RepValDemings Stupid Potus ha trolled all of you into the point of exposing how idiotic and biased you are,
@RepValDemings Riots killed Rona https://t.co/BKa0kFhQYh,RepValDemings Riots killed Rona http t co BKa kFhQYh,"('RepValDemings Riots', 'ORG')"
@RepValDemings But it’s ok to riot and burn buildings down..stfu,RepValDemings But it s ok to riot and burn building down stfu,
"RT @RepValDemings: Somehow, stunningly, after months to fix the system, Floridians are still being denied their rightfully-owed unemploymen…",RT RepValDemings Somehow stunningly after month to fix the system Floridians are still being denied their rightfully owed unemploymen,"('RT RepValDemings', 'ORG')"
"@RepValDemings Rep Demings : you brought Joe Biden to your district recently, a district that was once a kkk strong… https://t.co/vCfYhfSks2",RepValDemings Rep Demings you brought Joe Biden to your district recently a district that wa once a kkk strong http t co vCfYhfSks,"('Joe Biden', 'PERSON')"
@RepValDemings But your rally is ok🤔 #DoubleStandard https://t.co/ftqRNKezVB,RepValDemings But your rally is ok DoubleStandard http t co ftqRNKezVB,"('DoubleStandard', 'ORG')"
@RepValDemings They’ll just call it a protest. Should be ok.,RepValDemings They ll just call it a protest Should be ok,
@RepValDemings Could you do us a favor? Shove it.,RepValDemings Could you do u a favor Shove it,"('Shove', 'ORG')"
"Thanks #brother radicalrootstattoos for the #great #gift that will never #forget in my #life, it’s Second day of #tattoo hai guys 😊 #hope you all will like #jaguartattoo ❤️🙏🏻✊ #chetanvlogs #orangestudiochetan… https://t.co/zVm0WvqDGT",Thanks brother radicalrootstattoos for the great gift that will never forget in my life it s Second day of tattoo hai guy hope you all will like jaguartattoo chetanvlogs orangestudiochetan http t co zVm WvqDGT,"('Second', 'ORDINAL')"
@RepValDemings How about if we just call it a protest.,RepValDemings How about if we just call it a protest,
@RepValDemings No one believes your BS no more!!!,RepValDemings No one belief your BS no more,"('BS', 'GPE')"
"@RepValDemings Yep, all those protesters going home now are gonna pass the Covid to Granny and Grampa https://t.co/DdqwdcmXDq",RepValDemings Yep all those protester going home now are gonna pas the Covid to Granny and Grampa http t co DdqwdcmXDq,"('Covid', 'NORP')"
@RepValDemings We'll call it a protest...,RepValDemings We ll call it a protest,
@RepValDemings He is working on it Val Demings Your fired!!,RepValDemings He is working on it Val Demings Your fired,
"#TBT
Remembering a moment from the run of Orlando Ballet’s The Nutcracker when Shawn Hunt actually performed Robin… https://t.co/mv3XABd8FU",TBT Remembering a moment from the run of Orlando Ballet s The Nutcracker when Shawn Hunt actually performed Robin http t co mv XABd FU,"('Orlando Ballet', 'ORG')"
@RepValDemings Are you serious,RepValDemings Are you serious,
"@RepValDemings You sound like a crazy person.  So, if the liberal socialists want to gather, “it’s their right,” bu… https://t.co/UKTN7Z63GK",RepValDemings You sound like a crazy person So if the liberal socialist want to gather it s their right bu http t co UKTN Z GK,"('GK', 'GPE')"
"@RepValDemings Just a thought...maybe stay home then? Because it seems to me that if people out ""protesting"" wasn't… https://t.co/qNMiy62Lsv",RepValDemings Just a thought maybe stay home then Because it seems to me that if people out protesting wasn t http t co qNMiy Lsv,"('qNMiy Lsv', 'PERSON')"
"RT @RepValDemings: Inexcusably, instead of a comprehensive testing plan, the administration has abandoned all leadership and is asking stat…",RT RepValDemings Inexcusably instead of a comprehensive testing plan the administration ha abandoned all leadership and is asking stat,"('RT RepValDemings Inexcusably', 'ORG')"
"RT @Todd_Scheve: 15 year old Heaven Akins has been #missing from #Orlando, #Florida since May 21, 2020 and may travel to #SouthDaytona or #…",RT Todd Scheve year old Heaven Akins ha been missing from Orlando Florida since May and may travel to SouthDaytona or,"('Todd Scheve', 'PERSON')"
@RepValDemings Why aren’t all of you public officials DEMANDING that the CDC/WHO/NIH/Johns Hopkins....release data… https://t.co/tW7L1JTIUF,RepValDemings Why aren t all of you public official DEMANDING that the CDC WHO NIH Johns Hopkins release data http t co tW L JTIUF,"('CDC', 'ORG')"
@RepValDemings Hypocrisy in action 🔝,RepValDemings Hypocrisy in action,"('RepValDemings Hypocrisy', 'PERSON')"
@RepValDemings Thanks 🙏 Vp https://t.co/HLBY3baHa6,RepValDemings Thanks Vp http t co HLBY baHa,
@RepValDemings is latest in #dumbdem #TrumpDerangementSyndrome she came out publicly against the @realDonaldTrump h… https://t.co/Hqic3xSzXe,RepValDemings is latest in dumbdem TrumpDerangementSyndrome she came out publicly against the realDonaldTrump h http t co Hqic xSzXe,"('Hqic', 'ORG')"
@RepValDemings I hope you have a prominent position in the Biden Administration!!!!!!,RepValDemings I hope you have a prominent position in the Biden Administration,"('the Biden Administration', 'ORG')"
@RepValDemings Get over it please. We have been duped with this virus. Just like flu. Just wash your hands &amp,RepValDemings Get over it please We have been duped with this virus Just like flu Just wash your hand amp,
"@RepValDemings But, it was for a really good cause.",RepValDemings But it wa for a really good cause,
@RepValDemings Too late you encouraged thousands to protest and riot.  This use of COVID scam is over,RepValDemings Too late you encouraged thousand to protest and riot This use of COVID scam is over,"('COVID', 'PRODUCT')"
"@RepValDemings Get over yourself, racist! These rallies ARE GOING TO HAPPEN  and the President, who you tried so ha… https://t.co/2gwqctv6Bl",RepValDemings Get over yourself racist These rally ARE GOING TO HAPPEN and the President who you tried so ha http t co gwqctv Bl,"('Bl', 'ORG')"
"@RepValDemings Rep Lemmings...definitely have to rename this one.  I bet you loved those ""protests"" though.",RepValDemings Rep Lemmings definitely have to rename this one I bet you loved those protest though,
@RepValDemings Cases mean nothing if there is a 99.9% recovery rate.,RepValDemings Cases mean nothing if there is a recovery rate,
@RepValDemings You are talking like a real tool.,RepValDemings You are talking like a real tool,
@RepValDemings Very on-brand for Trump.,RepValDemings Very on brand for Trump,"('Trump', 'ORG')"
@RepValDemings You don’t get to say this is irresponsible and selfish when no one made a peep about Corona when it came to massive protests,RepValDemings You don t get to say this is irresponsible and selfish when no one made a peep about Corona when it came to massive protest,"('Corona', 'GPE')"
@RepValDemings You aren't allowed to talk about this after allowing major American cities to fall to anarchists.,RepValDemings You aren t allowed to talk about this after allowing major American city to fall to anarchist,"('American', 'NORP')"
@RepValDemings While these gatherings were ok ?? 🤔 https://t.co/LW66haTMiW,RepValDemings While these gathering were ok http t co LW haTMiW,"('LW', 'ORG')"
"@RepValDemings ""Rallies for me but not for thee""",RepValDemings Rallies for me but not for thee,
@RepValDemings Irresponsible and selfish.  Sounds like a truth-in-packaging campaign slogan for @realDonaldTrump.,RepValDemings Irresponsible and selfish Sounds like a truth in packaging campaign slogan for realDonaldTrump,
@RepValDemings But massive protests are fine,RepValDemings But massive protest are fine,
@RepValDemings He’s an irresponsible and selfish man.,RepValDemings He s an irresponsible and selfish man,
@RepValDemings It’s only ok if it fits your agenda?,RepValDemings It s only ok if it fit your agenda,
@RepValDemings Just shut up. It’s over.,RepValDemings Just shut up It s over,
@RepValDemings It’s called freedom.,RepValDemings It s called freedom,
"@RepValDemings Save yourself

Head back to DC and report for duty in Congress if it's unsafe in FLA

Ask Gran Nan to bring the 🍨🍨🍨🍨🍨🍨

B💥💥M",RepValDemings Save yourself Head back to DC and report for duty in Congress if it s unsafe in FLA Ask Gran Nan to bring the B M,"('DC', 'GPE')"
@RepValDemings @BradleyWhitford He Fleeced the country out of $500B.  Georgia voters stood for 13hrs Tues.Mail in b… https://t.co/uvJo126Pwh,RepValDemings BradleyWhitford He Fleeced the country out of B Georgia voter stood for hr Tues Mail in b http t co uvJo Pwh,"('Georgia', 'GPE')"
"@RepValDemings But you’re ok with the protesters, rioters , and looters, right?",RepValDemings But you re ok with the protester rioter and looter right,
"@RepValDemings Of course!  Rioters and looters are immune to Covid even when sharing rocks, bricks, and touching co… https://t.co/MDZGe8dTMQ",RepValDemings Of course Rioters and looter are immune to Covid even when sharing rock brick and touching co http t co MDZGe dTMQ,
@RepValDemings Is it okay if I go to a Trump rally to riot?,RepValDemings Is it okay if I go to a Trump rally to riot,"('Trump', 'ORG')"
"RT @OCCC: 🍊 Today, the OCCC presented its Recovery and Resiliency Plan to @OrangeCoFL Economic Recovery Task Force. Following a three prong…",RT OCCC Today the OCCC presented it Recovery and Resiliency Plan to OrangeCoFL Economic Recovery Task Force Following a three prong,"('RT OCCC', 'ORG')"
@RepValDemings Okay hypocrite.,RepValDemings Okay hypocrite,
@RepValDemings @nelson_luanne Clear as can be.,RepValDemings nelson luanne Clear a can be,"('nelson luanne', 'PERSON')"
@RepValDemings If Covid- 19 is so dangerous...why would you be so worried...the Republicans May lose some votes when they get so sick.,RepValDemings If Covid is so dangerous why would you be so worried the Republicans May lose some vote when they get so sick,"('Republicans', 'NORP')"
@RepValDemings Where is your quote telling rioters to go home it is not save? Produce it or sit down.,RepValDemings Where is your quote telling rioter to go home it is not save Produce it or sit down,
@RepValDemings You got that right https://t.co/jbqFPxop13,RepValDemings You got that right http t co jbqFPxop,
@RepValDemings Scared much?,RepValDemings Scared much,"('RepValDemings Scared', 'PERSON')"
@RepValDemings Shut up,RepValDemings Shut up,
@RepValDemings You are a special case of stupid if you think riots are ok but rallies are not. We see through your idiotic schemes.,RepValDemings You are a special case of stupid if you think riot are ok but rally are not We see through your idiotic scheme,
@RepValDemings Thanks to who?   Could this be the rioters?   or they did not riot long enough so now you need this back.,RepValDemings Thanks to who Could this be the rioter or they did not riot long enough so now you need this back,
@RepValDemings What a hypocrite!!! We’ll just call it a protest... feel better?,RepValDemings What a hypocrite We ll just call it a protest feel better,
"@RepValDemings This is a fun game....Looting, burning down cities, and mass protests as well experience a pandemic… https://t.co/QHJ8pOqqF5",RepValDemings This is a fun game Looting burning down city and mass protest a well experience a pandemic http t co QHJ pOqqF,"('Looting', 'GPE')"
@RepValDemings Your a racist and a lying idiot!,RepValDemings Your a racist and a lying idiot,
"@RepValDemings Start by addressing the black-on-black crime in ""your communities"" which killed more black people th… https://t.co/iqQXhYfJLS",RepValDemings Start by addressing the black on black crime in your community which killed more black people th http t co iqQXhYfJLS,
"@RepValDemings Oh well, it wasn't yesterday so don't think your little
  double talk will stop the rallies, they'll… https://t.co/u5LFrpEYU4",RepValDemings Oh well it wasn t yesterday so don t think your little double talk will stop the rally they ll http t co u LFrpEYU,"('yesterday', 'DATE')"
@RepValDemings You’ll be alright... did you express this concern over #GeorgeFloyd protests/riots?  You would at le… https://t.co/gd2TTJC5u3,RepValDemings You ll be alright did you express this concern over GeorgeFloyd protest riot You would at le http t co gd TTJC u,"('GeorgeFloyd', 'ORG')"
